id,label
148162,148162
85796,85796
102025,102025
130482,130482
180567,180567
8120,8120
97254,97254
51917,51917
62803,62803
554,554
179167,179167
124893,124893
140036,140036
51457,51457
3076,3076
176355,176355
116720,116720
205447,205447
167522,167522
172929,172929
155076,155076
201688,201688
87298,87298
147016,147016
190721,190721
103598,103598
183661,183661
160233,160233
159303,159303
158092,158092
186225,186225
3123,3123
111868,111868
111659,111659
227,227
194034,194034
182233,182233
2054,2054
190435,190435
83833,83833
80083,80083
141158,141158
198135,198135
1920,1920
140104,140104
193894,193894
7266,7266
185521,185521
148667,148667
153887,153887
133331,133331
94482,94482
153804,153804
1525,1525
200352,200352
69704,69704
8938,8938
168304,168304
186435,186435
47,47
8821,8821
201678,201678
185613,185613
171767,171767
116159,116159
189871,189871
140379,140379
118202,118202
81847,81847
90154,90154
3082,3082
84972,84972
199888,199888
2216,2216
99169,99169
2624,2624
191659,191659
156104,156104
183989,183989
164705,164705
190057,190057
150042,150042
176103,176103
193942,193942
61646,61646
204290,204290
69729,69729
52287,52287
160354,160354
88374,88374
184469,184469
154262,154262
144118,144118
205293,205293
34153,34153
120833,120833
159329,159329
83430,83430
196283,196283
175411,175411
152858,152858
162004,162004
160684,160684
153632,153632
192547,192547
156954,156954
160718,160718
68959,68959
256,256
79471,79471
190833,190833
2001,2001
165161,165161
170435,170435
199071,199071
103749,103749
113933,113933
148410,148410
173965,173965
127126,127126
129853,129853
180959,180959
38884,38884
51486,51486
186309,186309
204866,204866
207626,207626
188875,188875
93563,93563
69644,69644
176265,176265
206825,206825
196351,196351
4728,4728
122276,122276
161598,161598
163476,163476
8809,8809
171915,171915
154,154
161990,161990
134029,134029
120909,120909
178877,178877
113350,113350
199970,199970
51380,51380
116066,116066
157949,157949
190083,190083
130208,130208
94266,94266
71677,71677
50253,50253
117356,117356
142797,142797
197557,197557
58803,58803
183055,183055
164471,164471
116927,116927
191237,191237
114197,114197
146644,146644
108928,108928
117196,117196
122333,122333
8927,8927
188953,188953
155495,155495
176945,176945
186093,186093
6534,6534
190187,190187
167470,167470
2350,2350
200816,200816
58655,58655
77615,77615
175581,175581
7937,7937
136892,136892
196915,196915
8896,8896
190981,190981
203928,203928
181791,181791
642,642
185371,185371
85358,85358
134372,134372
74688,74688
2507,2507
137616,137616
196981,196981
81742,81742
33669,33669
182957,182957
174773,174773
3965,3965
4078,4078
182197,182197
109602,109602
58622,58622
142997,142997
183857,183857
166126,166126
8968,8968
83232,83232
193363,193363
171559,171559
179045,179045
7988,7988
134033,134033
72113,72113
3755,3755
31437,31437
57017,57017
176685,176685
189117,189117
88572,88572
168962,168962
81142,81142
7233,7233
134881,134881
206827,206827
57370,57370
1366,1366
2060,2060
142767,142767
175527,175527
112112,112112
190351,190351
63278,63278
198545,198545
130426,130426
119689,119689
53152,53152
114859,114859
5934,5934
176175,176175
188189,188189
192465,192465
157801,157801
189459,189459
107183,107183
143420,143420
143480,143480
185127,185127
8460,8460
170537,170537
3433,3433
4810,4810
139106,139106
139397,139397
179987,179987
176903,176903
71640,71640
196321,196321
6382,6382
202433,202433
3951,3951
157371,157371
157116,157116
151585,151585
173093,173093
177955,177955
165529,165529
186029,186029
25866,25866
146374,146374
180679,180679
90702,90702
130111,130111
4917,4917
199155,199155
147432,147432
5146,5146
136540,136540
4196,4196
192969,192969
82119,82119
187393,187393
143029,143029
197631,197631
156375,156375
201354,201354
26567,26567
177185,177185
6820,6820
69356,69356
124023,124023
203387,203387
117555,117555
193928,193928
108007,108007
780,780
5168,5168
50821,50821
32799,32799
133547,133547
196747,196747
6532,6532
204498,204498
159185,159185
197353,197353
63853,63853
141964,141964
68163,68163
197685,197685
185383,185383
144312,144312
175669,175669
100438,100438
198901,198901
124763,124763
68522,68522
157365,157365
100442,100442
139233,139233
115203,115203
3266,3266
157106,157106
6809,6809
135907,135907
173791,173791
148112,148112
207706,207706
127130,127130
161768,161768
5438,5438
106423,106423
73099,73099
847,847
47484,47484
110916,110916
133349,133349
42638,42638
70663,70663
58246,58246
8225,8225
47538,47538
128161,128161
151487,151487
180317,180317
117186,117186
151673,151673
77947,77947
586,586
138724,138724
183331,183331
121545,121545
3028,3028
187875,187875
145052,145052
150621,150621
183435,183435
136339,136339
1953,1953
139655,139655
170817,170817
184829,184829
5854,5854
179779,179779
3536,3536
184663,184663
203547,203547
47736,47736
183847,183847
32162,32162
164667,164667
116951,116951
180117,180117
147314,147314
3254,3254
178345,178345
136662,136662
189037,189037
81791,81791
175179,175179
44153,44153
90719,90719
919,919
104050,104050
152737,152737
6016,6016
194448,194448
5739,5739
189449,189449
123516,123516
111370,111370
91908,91908
1615,1615
74306,74306
188091,188091
176845,176845
3509,3509
189623,189623
140916,140916
104335,104335
155818,155818
840,840
89083,89083
3133,3133
89732,89732
176129,176129
26778,26778
176925,176925
5303,5303
197119,197119
87790,87790
191677,191677
139737,139737
121188,121188
107987,107987
146776,146776
45880,45880
161788,161788
81524,81524
190835,190835
190167,190167
121781,121781
197311,197311
